model_pair,draft_model,benchmark,run,item_id,correct,construct,analysis_source
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_25,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_26,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_27,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_28,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_29,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_30,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_31,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_32,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_33,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_34,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_35,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_36,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_37,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_38,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_39,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_40,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_41,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_42,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_43,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_44,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_45,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_46,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_47,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_48,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_49,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_50,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_51,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_52,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_53,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_54,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_55,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_56,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_57,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_58,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_59,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_60,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_61,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_62,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_63,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_64,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_65,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_66,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_67,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_68,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_69,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_70,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_71,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_72,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_73,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_74,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_75,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_76,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_77,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_78,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_79,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_80,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_81,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_82,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_83,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_84,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_85,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_86,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_87,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_88,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_89,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_90,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_91,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_92,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_93,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_94,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_95,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_96,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_97,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_98,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_99,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_100,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_101,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_102,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_103,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_104,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_105,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_106,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_107,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_108,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_109,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_110,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_111,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_112,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_113,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_114,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_115,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_116,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_117,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_118,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_119,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_120,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_121,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_122,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_123,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_124,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_125,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_126,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_127,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_128,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_129,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_130,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_131,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_132,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_133,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_134,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_135,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_136,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_137,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_138,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_139,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_140,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_141,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_142,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_143,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_144,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_145,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_146,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_147,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_148,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_149,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_150,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_151,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_152,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_153,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_154,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_155,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_156,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_157,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_158,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_159,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_160,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_161,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_162,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_163,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_164,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_165,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_166,1,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_167,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_168,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_169,0,knowledge_reasoning,observed_full
Qwen2.5-0.5B→Qwen2.5-7B,Qwen/Qwen2.5-0.5B,mmlu,0,mmlu_170,0,knowledge_reasoning,observed_full
