model_pair,benchmark,condition,cond_type,item_id,source_item_id,baseline_correct,condition_correct,score_flip,token_changed,token_change_no_score_flip,accept_rate,temperature,construct
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_27,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_28,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_29,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_30,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_31,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_32,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_33,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_34,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_35,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_36,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_37,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_38,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_39,gsm8k_5,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_40,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_41,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_42,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_43,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_44,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_45,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_46,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_47,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_48,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_49,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_50,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_51,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_52,gsm8k_15,1,1,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_53,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_54,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_55,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_56,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_57,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_58,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_59,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_60,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_61,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_62,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_63,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_64,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_65,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_66,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_67,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_68,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_69,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_70,gsm8k_15,1,1,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_71,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_72,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_73,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_74,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_75,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_76,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_77,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_78,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_79,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_80,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_81,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_82,gsm8k_5,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_83,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_84,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_85,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_86,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_87,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_88,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_89,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_90,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_91,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_92,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_93,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_94,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_95,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_96,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_97,gsm8k_15,1,1,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_98,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_99,gsm8k_5,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_100,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_101,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_102,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_103,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_104,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_105,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_106,gsm8k_15,1,1,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_107,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_108,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_109,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_110,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_111,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_112,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_113,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_114,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_115,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_116,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_117,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_118,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_119,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_120,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_121,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_122,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_123,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_124,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_125,gsm8k_5,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_126,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_127,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_128,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_129,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_130,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_131,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_132,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_133,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_134,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_135,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_136,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_137,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_138,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_139,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_140,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_141,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_142,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_143,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_144,gsm8k_2,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_145,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_146,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_147,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_148,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_149,gsm8k_0,1,1,0,0,0,0.03508771929824561,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_150,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_151,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_152,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_153,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_154,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_155,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_156,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_157,gsm8k_10,0,0,0,0,0,0.1111111111111111,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_158,gsm8k_9,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_159,gsm8k_4,0,0,0,0,0,0.06557377049180328,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_160,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_161,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_162,gsm8k_1,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_163,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_164,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_165,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_166,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_167,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_168,gsm8k_17,0,0,0,0,0,0.036585365853658534,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_169,gsm8k_12,0,0,0,0,0,0.01953125,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_170,gsm8k_19,0,0,0,0,0,0.01282051282051282,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_171,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_172,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning
