model_pair,benchmark,condition,cond_type,run,item_id,correct,token_ids,n_tokens,accept_rate,construct,analysis_source,temperature,source_item_id
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_16,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_16
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_17,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_17
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_18,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_18
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_19,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_19
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_20,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_20
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_21,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_21
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_22,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_22
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_23,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_23
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_24,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_24
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_25,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_25
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_26,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_26
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_27,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_27
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_28,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_28
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_29,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_29
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_30,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_30
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_31,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_31
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_32,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_32
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_33,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_33
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_34,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_34
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_35,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_35
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_36,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_36
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_37,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_37
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_38,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_38
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_39,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_39
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_40,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_40
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_41,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_41
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_42,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_42
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_43,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_43
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_44,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_44
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_45,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_45
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_46,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_46
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_47,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_47
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_48,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_48
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_49,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_49
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_50,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_50
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_51,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_51
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_52,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_52
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_53,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_53
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_54,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_54
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_55,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_55
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_56,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_56
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_57,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_57
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_58,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_58
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_59,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_59
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_60,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_60
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_61,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_61
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_62,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_62
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_63,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_63
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_64,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_64
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_65,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_65
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_66,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_66
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_67,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_67
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_68,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_68
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_69,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_69
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_70,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_70
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_71,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_71
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_72,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_72
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_73,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_73
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_74,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_74
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_75,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_75
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_76,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_76
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_77,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_77
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_78,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_78
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_79,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_79
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_80,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_80
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_81,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_81
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_82,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_82
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_83,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_83
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_84,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_84
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_85,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_85
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_86,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_86
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_87,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_87
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_88,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_88
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_89,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_89
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_90,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_90
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_91,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_91
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_92,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_92
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_93,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_93
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_94,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_94
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_95,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_95
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_96,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_96
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_97,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_97
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_98,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_98
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_99,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_99
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_100,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_100
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_101,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_101
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_102,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_102
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_103,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_103
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_104,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_104
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_105,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_105
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_106,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_106
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_107,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_107
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_108,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_108
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_109,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_109
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_110,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_110
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_111,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_111
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_112,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_112
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_113,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_113
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_114,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_114
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_115,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_115
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_116,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_116
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_117,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_117
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_118,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_118
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_119,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_119
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_120,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_120
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_121,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_121
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_122,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_122
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_123,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_123
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_124,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_124
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_125,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_125
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_126,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_126
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_127,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_127
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_128,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_128
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_129,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_129
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_130,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_130
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_131,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_131
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_132,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_132
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_133,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_133
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_134,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_134
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_135,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_135
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_136,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_136
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_137,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_137
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_138,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_138
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_139,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_139
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_140,1,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_140
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_141,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_141
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_142,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_142
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_143,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_143
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_144,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_144
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_145,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_145
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_146,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_146
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_147,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_147
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_148,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_148
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_149,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_149
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_150,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_150
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_151,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_151
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_152,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_152
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_153,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_153
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_154,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_154
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_155,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_155
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_156,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_156
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_157,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_157
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_158,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_158
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_159,0,362,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_159
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_160,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_160
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_161,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_161
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_162,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_162
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_163,0,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_163
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_164,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_164
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_165,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_165
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_166,1,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_166
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_167,1,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_167
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_168,0,422,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_168
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_169,1,425,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_169
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0,mmlu_170,0,356,1,1.0,knowledge_reasoning,observed_full_500,0.7,mmlu_170
