model_pair,benchmark,condition,cond_type,run,item_id,correct,token_ids,n_tokens,accept_rate,construct,analysis_source,temperature
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_10,0,14822 220 16 25 20517 279 1372 315 2518 69480 429 20524 624 19 15 4 315 220 17 20 2518 69480 284 220 15 13 19 353 220 17 20 284 220 16 15 2518 69480 20524 382 8304 220 17 25 93210 279 20524 2518 69480 504 279 2790 1372 315 2518 69480 624 17 20 2518 69480 481 220 16 15 2518 69480 284 220 16 20 2518 69480 9664 382 8304 220 18 25 20517 279 1372 315 13753 69480 5880 624 42627 315 220 16 17 13753 69480 284 220 16 17 608 220 17 284 220 21 13753 69480 5880 382 8304 220 19 25 93210 279 5880 13753 69480 504 279 2790 1372 315 13753 69480 624 16 17 13753 69480 481 220 21 13753 69480 284 220 21 13753 69480 9664 382 8304 220 20 25 20517 279 1372 315 6303 69480 10568 304 279 4916 624 23 6303 69480 10568 304 279 4916 382 8304 220 21 25 20517 279 1372 315 6303 69480 52291 3694 311 1059 9664 42689 315 69480 624 22 20 4 315 220 23 6303 69480 284 220 15 13 22 20 353 220 23 284 220 21 6303 69480 3694 382 8304 220 22 25 2691 279 2790 1372 315 69480 52291 11691 1119 279 2906 624 16 20 2518 69480 488 220 21 13753 69480 488 220 21 6303 69480 284 220 17 22 69480 382 4416 11 52291 5499 11691 220 17 22 69480 1119 279 2906 624 2610,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_11,0,14513 40676 488 220 20 67342 488 220 21 84038 284 220 16 19 9666 315 13779 13 96357 29812 220 17 9666 315 13779 13 220 16 19 9666 481 220 17 9666 284 220 16 17 9666 315 13779 2115 13 576 4226 374 220 16 17 624 58 14582 60 93604 58341 220 21 87024 82 2163 1059 3753 13 8886 87024 702 220 22 1422 49958 11 323 1817 1422 2111 702 220 18 15 10901 13 2585 1657 10901 653 678 279 87024 82 614 5267 58 16141 60 5338 1477 279 2790 1372 315 1422 49958 389 678 279 87024 82 25 220 22 1422 49958 608 87024 353 220 21 87024 82 284 220 19 17 1422 49958 13 5005 1477 279 2790 1372 315 10901 389 220 19 17 1422 49958 25 220 19 17 1422 49958 353 220 18 15 10901 608 1422 2111 284 220 16 17 21 15 10901 13 576 4226 374 220 16 17 21 15 624 48 25 758 279 90758 7071 11 1378 25362 448 11900 72 400 23 3 323 400 21 3 525 14764 448 862 18652 400 16 17 3 8153 10747 13 2411 400 47 54876 825 315 279 3501 315 19246 11 264 1555 374 14764 304 1741 264 1616 429 279 55659 400 66520 3 323 400 6480 3 614 6144 3084 13 7379 279 9334 315 279 3084 315 400 66520 3 624 58 6405 60 2141 7 16 21 15 1215 1638 2752,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_12,1,14822 220 16 25 20517 279 3311 315 3015 304 279 18575 7027 1573 978 9400 624 41969 7027 284 220 16 15 92866 198 28253 304 18575 7027 284 320 17 14 18 8 353 220 16 15 92866 284 220 21 13 21 22 92866 271 8304 220 17 25 20517 279 3311 315 3015 304 279 77082 7027 624 47 482 22377 7027 284 220 16 20 92866 198 28253 304 77082 7027 284 320 18 14 20 8 353 220 16 20 92866 284 220 24 92866 271 8304 220 18 25 20517 279 3311 315 3015 73025 624 10093 73025 284 220 16 6935 271 8304 220 19 25 20517 279 9664 3311 315 3015 304 279 18575 7027 1283 978 9400 624 54745 18575 7027 284 220 16 15 92866 481 220 16 6935 284 220 24 92866 198 54745 3015 304 18575 7027 284 220 21 13 21 22 92866 481 320 16 14 18 8 353 220 16 6935 284 220 21 13 18 18 92866 271 8304 220 20 25 20517 279 2790 3311 315 3015 304 279 20980 1283 34171 279 9664 18575 7027 323 279 77082 7027 624 7595 3015 284 220 21 13 18 18 92866 320 43436 18575 7027 8 488 220 24 92866 320 38038 22377 7027 8 284 220 16 20 13 18 18 92866 271 8304 220 21 25 20517 279 2790 8123 315 279 20980 1283 34171 279 9664 18575 7027 323 279 77082 7027 624 7595 8123 284,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_13,0,220 19 9508 817 7728 374 220 19 353 220 16 284 220 19 9508 13 25839 279 1372 315 9508 15384 389 7270 374 220 19 608 220 17 284 220 17 9508 13 2379 3736 220 19 488 220 17 284 220 21 9508 817 9001 13 2379 646 3736 220 21 353 220 19 284 220 17 19 9508 304 220 19 5555 13 576 4226 374 220 17 19 382 14582 25 2876 12212 1030 220 19 17 326 965 573 3721 304 279 7167 13 1913 806 1616 2114 11 566 5485 34166 323 6551 1059 220 17 14 18 315 806 326 965 573 3721 13 5005 11 2876 12212 8604 220 19 326 965 573 3721 323 6551 279 2732 311 9729 13 2585 1657 326 965 573 3721 1521 9729 5258 5267 16141 25 2876 12212 6551 34166 220 19 17 856 220 17 608 220 18 284 220 17 23 326 965 573 3721 13 2055 11 566 1172 1030 220 19 17 481 220 17 23 284 220 16 19 326 965 573 3721 2115 13 4636 10282 220 19 326 965 573 3721 11 2876 12212 6551 220 16 19 481 220 19 284 220 16 15 326 965 573 3721 311 9729 13 576 4226 374 220 16 15 382 14582 25 8224 10788 264 8811 6092 448 264 10601 5296 13 2619 1033 3040 6978 448 17073 6623 15904 817 2802 27802 304 279 6092 13 1416 1817 6623 3619 374 5802 400,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_14,0,1260 8145 220 22 20 4755 304 220 16 20 4115 1576 220 22 20 608 220 20 284 220 16 20 13 1260 572 2952 311 4583 220 16 17 15 4755 304 220 16 20 4115 1576 220 16 20 856 220 23 284 220 16 17 15 13 1260 1030 220 16 20 4115 311 4583 220 16 15 15 4755 1576 220 21 856 220 20 284 220 18 15 13 1260 572 2952 311 4583 220 16 23 15 4755 304 220 16 20 4115 1576 220 18 15 856 220 21 284 220 16 23 15 13 1260 2115 220 16 15 15 4755 32143 1576 220 16 17 15 481 220 17 15 284 220 16 15 15 13 576 4226 374 220 16 15 15 624 58 14582 60 32 8968 5610 220 18 2518 11 220 19 6303 11 323 220 18 6176 3594 38763 13 1416 498 26618 3735 825 41290 323 1221 2182 432 1182 323 3735 2441 41290 11 1128 374 279 18927 315 21132 1378 2518 3594 38763 304 264 2802 5267 58 16141 60 785 18927 315 21132 264 2518 41290 389 279 1156 4038 374 220 18 700 315 320 18 488 220 19 488 220 18 8 476 220 18 608 220 16 15 13 8704 279 41290 374 2182 1182 11 279 8968 2058 702 220 18 2518 3594 38763 700 315 264 2790 315 320 18 488 220 19 488 220 18 8 476 220 16 15 3594,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_15,0,14822 14319 29208 32711 1882 25 28693 1865 220 20 15 488 220 17 15 284 220 22 15 4780 13 31155 11 47290 323 28693 1281 220 20 15 488 220 22 15 284 220 16 17 15 4780 624 4416 279 4226 374 220 16 17 15 382 14582 25 362 7314 374 1660 10199 553 2326 31175 13 576 1156 13647 646 5155 279 7314 304 220 21 4115 11 279 2086 304 220 23 4115 11 323 279 4843 304 220 16 15 4115 13 1416 678 2326 31175 525 8930 518 279 1852 882 11 1246 1293 686 432 1896 311 5155 279 7314 5267 16141 25 14822 14319 29208 32711 1882 25 576 4379 315 279 1156 13647 374 220 16 608 220 21 7314 817 6460 11 279 4379 315 279 2086 13647 374 220 16 608 220 23 7314 817 6460 11 323 279 4379 315 279 4843 13647 374 220 16 608 220 16 15 7314 817 6460 13 576 10856 4379 315 678 2326 31175 374 220 16 608 220 21 488 220 16 608 220 23 488 220 16 608 220 16 15 284 220 17 24 608 220 16 17 15 7314 817 6460 13 15277 11 432 686 1896 220 16 17 15 608 220 17 24 4115 311 5155 279 7314 11 892 374 13187 220 19 13 16 19 4115 624 4416 279 4226 374 220 19 13 16 19 382 14582 25 362 1874 315 220 20 2841 525 4429,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_16,0,576 1372 315 650 51091 84038 374 220 17 15 608 220 16 15 15 24768 220 17 20 284 220 20 13 7281 11 279 1372 315 20282 84038 374 220 17 13 2055 11 279 2790 1372 315 3873 84038 374 220 17 488 220 16 488 220 20 284 220 23 13 31040 11 279 1372 315 1661 84038 374 220 17 20 481 220 23 284 220 16 22 13 576 4226 25 220 16 22 624 58 14582 60 49 1952 702 2326 3039 438 1657 63781 438 1059 12923 11 1393 1059 12923 702 1378 803 63781 1091 862 38184 13 1416 862 38184 702 220 20 15 63781 11 1246 1657 63781 653 807 614 30055 5267 58 16141 60 49 1952 594 12923 702 220 20 15 488 220 17 284 220 20 17 63781 13 66427 702 220 20 17 856 220 18 284 220 16 20 21 63781 13 53270 3439 11 807 614 220 20 15 488 220 20 17 488 220 16 20 21 284 220 17 20 23 63781 13 576 4226 25 220 17 20 23 624 48 25 362 6554 35985 438 220 23 35985 18812 13 576 1156 220 18 35985 18812 1477 220 20 4131 6209 1817 13 13293 220 18 35985 18812 1477 220 24 4131 6209 1817 11 323 279 9664 35985 18812 1817 1477 4279 279 1372 315 4131 6209 429 6554 35985 13719 13 1416 6554 35985 13719 4916 3039 279 2790 1372 315 4131,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_17,0,14822 3776 25 20517 279 2783 315 220 21 2714 59730 624 21 2714 59730 353 400 17 1817 284 400 16 17 271 8304 9043 25 20517 279 2783 315 220 23 96338 624 23 96338 353 400 18 1817 284 400 17 19 271 8304 14513 25 2691 279 7049 315 279 2714 59730 323 96338 624 3 16 17 320 9247 388 8 488 400 17 19 320 79 954 8669 8 284 400 18 21 271 19357 21806 25 576 2783 315 220 21 2714 59730 323 220 23 96338 374 400 18 21 624 2610 525 458 15235 17847 429 8609 1251 1477 1995 13 2657 686 498 2968 498 264 3405 13 4615 3383 374 311 4226 438 93076 438 498 646 13 5976 35764 1744 3019 14319 29208 323 9357 697 4226 13 151643,141,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_18,1,49495 290 5711 220 18 856 220 17 284 220 21 3579 26135 1449 1899 13 15277 11 566 5711 220 21 856 220 17 284 220 16 17 3579 26135 1449 220 17 2849 13 576 4226 374 220 16 17 624 58 14582 60 32 29595 389 279 2997 594 5546 5610 2297 807 3003 1012 13997 264 8411 311 279 9853 12644 8061 13 2619 525 220 16 17 18 42949 550 11 220 23 20 15988 2010 11 220 18 20 294 1733 11 323 264 1372 315 31473 13 2009 4236 2997 3613 633 264 1990 56407 11 892 7049 400 18 1817 13 4636 279 8411 11 807 614 220 19 23 30191 2115 916 13 2585 1657 31473 1033 304 279 29595 5267 58 16141 60 785 2997 7391 400 16 20 389 9853 12644 1576 220 20 856 220 18 284 220 16 20 13 2379 1030 400 16 20 13 19 23 1576 220 16 20 488 659 19 23 284 220 16 20 13 19 23 13 2379 1030 400 16 20 13 15 15 1573 279 8411 1576 220 16 20 13 19 23 481 659 19 23 284 220 16 20 13 2379 1030 400 16 19 13 22 20 304 18762 1576 220 16 20 481 659 17 20 284 220 16 19 13 22 20 13 2379 1030 220 20 24 31473 1576 220 16 19 13 22 20 608 659 17 20 284 220 20 24 13 576 4226 374 220,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,spec,0,gsm8k_19,0,7487 10788 220 16 21 11794 63456 49212 13 1260 10788 220 18 803 10855 49212 1091 11794 63456 49212 11 773 566 10788 220 16 21 488 220 18 284 220 16 24 10855 49212 13 1260 10788 220 24 16745 16009 49212 1091 10855 49212 11 773 566 10788 220 16 24 481 220 24 284 220 16 15 16009 49212 13 7487 10788 220 16 21 488 220 16 24 488 220 16 15 284 220 19 20 49212 304 678 13 576 4226 374 220 19 20 624 58 14582 60 43 14385 323 88843 525 15826 264 3054 13 27133 1105 11 432 4990 220 23 4115 311 4240 279 3054 13 362 8338 315 279 882 7391 15826 572 553 81834 323 88843 572 8480 369 279 2732 315 279 15826 13 2585 1293 11 304 4420 11 572 88843 15826 5267 58 16141 60 43 14385 27722 279 3054 369 220 23 353 220 16 608 220 19 284 220 17 4115 13 1096 3363 429 88843 572 15826 369 220 23 481 220 17 284 220 21 4115 13 2055 11 88843 572 15826 369 220 21 353 220 21 15 284 220 18 21 15 4420 13 576 4226 374 220 18 21 15 624 48 25 3757 49531 220 20 23069 429 1817 2783 400 18 13 1260 5221 264 220 17 15 4 11089 13 2585 1753 1521 566 2291 369 4297 5267 32 25 576 23069 2783 220 20 353 220 18 284 400,256,1.0,math_reasoning,projected,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,spec,0,gsm8k_0,1,576 2790 11341 14064 15017 16285 323 20060 594 16639 374 220 22 488 220 16 16 284 220 16 23 13 576 2790 4231 10868 264 2790 11341 315 220 16 23 11 7290 1817 11341 10868 220 16 21 17 608 220 16 23 284 220 24 1635 13 8704 20060 594 4231 374 15251 553 220 16 16 11 566 374 220 16 16 353 220 24 284 220 24 24 1635 2310 13 17695 1635 504 1431 11 20060 686 387 220 24 24 488 220 16 15 284 220 16 15 24 1635 2310 13 576 4226 374 220 16 15 24 624 58 14582 60 32 10855 5579 702 311 8329 400 17 817 49580 315 6819 13 2932 646 6541 220 16 15 8756 817 49580 13 2932 20118 518 264 4379 315 220 18 15 8756 817 6460 13 1416 1340 374 7171 8672 20 15 817 14587 11 1246 1753 3220 1558 1340 1281 421 1340 20118 369 220 16 15 4115 5267 58 16141 60 7941 20118 220 18 15 15 8756 1576 220 16 15 856 220 18 15 284 220 18 15 15 13 2932 5711 220 16 20 15 50122 315 6819 1576 220 18 15 15 608 220 16 15 284 220 16 20 15 13 2932 37102 400 18 15 15 389 6819 1576 220 16 20 15 856 220 17 284 220 18 15 15 13 2932 63759 400 16 20 15 1576 220 18 15 15 856 659 20,256,0.03125,math_reasoning,projected,0.7
